Number,ApiFunName
0,AbortDoc
1,AbortPath
2,AbortPrinter
3,AbortSystemShutdownA
4,AbortSystemShutdownW
5,accept
6,AcceptEx
7,AcceptSecurityContext
8,AccessCheck
9,AccessCheckAndAuditAlarmA
10,AccessCheckAndAuditAlarmW
11,AccessCheckByType
12,AccessCheckByTypeAndAuditAlarmA
13,AccessCheckByTypeAndAuditAlarmW
14,AccessCheckByTypeResultList
15,AccessCheckByTypeResultListAndAuditAlarmA
16,AccessCheckByTypeResultListAndAuditAlarmByHandleA
17,AccessCheckByTypeResultListAndAuditAlarmByHandleW
18,AccessCheckByTypeResultListAndAuditAlarmW
19,AccessibleObjectFromEvent
20,AccessibleObjectFromPoint
21,AccessibleObjectFromWindow
22,AccessibleObjectFromWindowTimeout
23,AccGetRunningUtilityState
24,AccNotifyTouchInteraction
25,AccSetRunningUtilityState
26,acmDriverAddA
27,acmDriverAddW
28,acmDriverClose
29,acmDriverDetailsA
30,acmDriverDetailsW
31,acmDriverEnum
32,acmDriverID
33,acmDriverMessage
34,acmDriverOpen
35,acmDriverPriority
36,acmDriverRemove
37,acmFilterChooseA
38,acmFilterChooseW
39,acmFilterDetailsA
40,acmFilterDetailsW
41,acmFilterEnumA
42,acmFilterEnumW
43,acmFilterTagDetailsA
44,acmFilterTagDetailsW
45,acmFilterTagEnumA
46,acmFilterTagEnumW
47,acmFormatChooseA
48,acmFormatChooseW
49,acmFormatDetailsA
50,acmFormatDetailsW
51,acmFormatEnumA
52,acmFormatEnumW
53,acmFormatSuggest
54,acmFormatTagDetailsA
55,acmFormatTagDetailsW
56,acmFormatTagEnumA
57,acmFormatTagEnumW
58,acmGetVersion
59,acmMetrics
60,acmStreamClose
61,acmStreamConvert
62,acmStreamMessage
63,acmStreamOpen
64,acmStreamPrepareHeader
65,acmStreamReset
66,acmStreamSize
67,acmStreamUnprepareHeader
68,AcquireCredentialsHandleA
69,AcquireDDThreadLock
70,AcquireDeveloperLicense
71,ActivateActCtx
72,ActivateActCtxWorker
